age,education,black,hispanic,married,nodegree,re74,re75
37,11,1,0,1,1,0.0,0.0
22,9,0,1,0,1,0.0,0.0
30,12,1,0,0,0,0.0,0.0
27,11,1,0,0,1,0.0,0.0
33,8,1,0,0,1,0.0,0.0
22,9,1,0,0,1,0.0,0.0
23,12,1,0,0,0,0.0,0.0
32,11,1,0,0,1,0.0,0.0
22,16,1,0,0,0,0.0,0.0
33,12,0,0,1,0,0.0,0.0
19,9,1,0,0,1,0.0,0.0
21,13,1,0,0,0,0.0,0.0
18,8,1,0,0,1,0.0,0.0
27,10,1,0,1,1,0.0,0.0
17,7,1,0,0,1,0.0,0.0
19,10,1,0,0,1,0.0,0.0
27,13,1,0,0,0,0.0,0.0
23,10,1,0,0,1,0.0,0.0
40,12,1,0,0,0,0.0,0.0
26,12,1,0,0,0,0.0,0.0
23,11,1,0,0,1,0.0,0.0
41,14,0,0,0,0,0.0,0.0
38,9,0,0,0,1,0.0,0.0
24,11,1,0,0,1,0.0,0.0
18,10,1,0,0,1,0.0,0.0
29,11,1,0,1,1,0.0,0.0
25,11,1,0,0,1,0.0,0.0
27,10,0,1,0,1,0.0,0.0
17,10,1,0,0,1,0.0,0.0
24,11,1,0,0,1,0.0,0.0
17,10,1,0,0,1,0.0,0.0
48,4,1,0,0,1,0.0,0.0
25,11,1,0,1,1,0.0,0.0
20,12,1,0,0,0,0.0,0.0
25,12,1,0,0,0,0.0,0.0
42,14,1,0,0,0,0.0,0.0
25,5,1,0,0,1,0.0,0.0
23,12,1,0,1,0,0.0,0.0
46,8,1,0,1,1,0.0,0.0
24,10,1,0,0,1,0.0,0.0
21,12,1,0,0,0,0.0,0.0
19,9,0,0,0,1,0.0,0.0
17,8,1,0,0,1,0.0,0.0
18,8,0,1,1,1,0.0,0.0
20,11,1,0,0,1,0.0,0.0
25,11,1,0,1,1,0.0,0.0
17,8,1,0,0,1,0.0,0.0
17,9,1,0,0,1,0.0,0.0
25,5,1,0,0,1,0.0,0.0
23,12,1,0,0,0,0.0,0.0
28,8,1,0,0,1,0.0,0.0
31,11,1,0,1,1,0.0,0.0
18,11,1,0,0,1,0.0,0.0
25,12,1,0,0,0,0.0,0.0
30,11,1,0,1,1,0.0,0.0
17,10,1,0,0,1,0.0,0.0
37,9,1,0,0,1,0.0,0.0
41,4,1,0,1,1,0.0,0.0
42,14,1,0,1,0,0.0,0.0
22,11,0,0,0,1,0.0,0.0
17,8,1,0,0,1,0.0,0.0
29,8,1,0,0,1,0.0,0.0
35,10,1,0,0,1,0.0,0.0
27,11,1,0,0,1,0.0,0.0
29,4,1,0,0,1,0.0,0.0
28,9,1,0,0,1,0.0,0.0
27,11,1,0,0,1,0.0,0.0
23,7,0,0,0,1,0.0,0.0
45,5,1,0,1,1,0.0,0.0
29,13,1,0,0,0,0.0,0.0
27,9,1,0,0,1,0.0,0.0
46,13,1,0,0,0,0.0,0.0
18,6,1,0,0,1,0.0,0.0
25,12,1,0,0,0,0.0,0.0
28,15,1,0,0,0,0.0,0.0
25,11,0,0,0,1,0.0,0.0
22,12,1,0,0,0,0.0,0.0
21,9,1,0,0,1,0.0,0.0
40,11,1,0,0,1,0.0,0.0
22,11,1,0,0,1,0.0,0.0
25,12,1,0,0,0,0.0,0.0
18,12,1,0,0,0,0.0,0.0
38,12,0,0,0,0,0.0,0.0
27,13,1,0,0,0,0.0,0.0
27,8,1,0,0,1,0.0,0.0
38,11,1,0,0,1,0.0,0.0
23,8,0,1,0,1,0.0,0.0
26,11,1,0,0,1,0.0,0.0
21,12,0,0,0,0,0.0,0.0
25,8,1,0,0,1,0.0,0.0
31,11,1,0,1,1,0.0,0.0
17,10,1,0,0,1,0.0,0.0
25,11,1,0,0,1,0.0,0.0
21,12,1,0,0,0,0.0,0.0
44,11,1,0,0,1,0.0,0.0
25,12,0,0,0,0,0.0,0.0
18,9,1,0,0,1,0.0,0.0
42,12,1,0,0,0,0.0,0.0
25,10,1,0,0,1,0.0,0.0
31,9,0,1,0,1,0.0,0.0
24,10,1,0,0,1,0.0,0.0
26,10,1,0,0,1,0.0,0.0
25,11,1,0,0,1,0.0,0.0
18,11,1,0,0,1,0.0,0.0
19,11,1,0,0,1,0.0,0.0
43,9,1,0,0,1,0.0,0.0
27,13,1,0,0,0,0.0,0.0
17,9,1,0,0,1,0.0,0.0
30,11,1,0,0,1,0.0,0.0
26,10,1,0,1,1,2027.9990234375,0.0
20,9,1,0,0,1,6083.994140625,0.0
17,9,0,1,0,1,445.17041015625,74.3434524536133
20,12,1,0,0,0,989.267822265625,165.207702636719
18,11,1,0,0,1,858.254272460938,214.56359863281202
27,12,1,0,1,0,3670.8720703125,334.049285888672
21,12,0,0,0,0,3670.8720703125,334.049407958984
27,12,1,0,0,0,2143.4130859375,357.949890136719
20,12,1,0,0,0,0.0,377.568603515625
19,10,1,0,0,1,0.0,385.274108886719
23,12,1,0,0,0,5506.30810546875,501.074096679688
29,14,1,0,0,0,0.0,679.673400878906
18,10,1,0,0,1,0.0,798.9078979492191
19,9,1,0,0,1,0.0,798.9078979492191
27,13,0,0,1,0,9381.56640625,853.7224731445309
18,11,0,0,0,1,3678.23095703125,919.5579223632809
27,9,1,0,1,1,0.0,934.4453735351559
22,12,1,0,0,0,5605.85205078125,936.1773071289059
23,10,1,0,1,1,0.0,936.438598632812
23,12,0,1,0,0,9385.740234375,1117.43896484375
20,11,1,0,0,1,3637.498046875,1220.83605957031
17,9,1,0,0,1,1716.5090332031198,1253.43896484375
28,11,1,0,0,1,0.0,1284.07897949219
26,11,1,0,1,1,0.0,1392.85302734375
20,11,1,0,0,1,16318.6201171875,1484.99401855469
24,11,1,0,1,1,824.3886108398441,1666.1130371093802
31,9,1,0,0,1,0.0,1698.60705566406
23,8,0,0,1,1,0.0,1713.15002441406
18,10,1,0,0,1,2143.41088867188,1784.27404785156
29,12,1,0,0,0,10881.9404296875,1817.28405761719
26,11,0,0,0,1,0.0,2226.26611328125
24,9,1,0,0,1,9154.7001953125,2288.67504882812
25,12,1,0,0,0,14426.7900390625,2409.27392578125
24,10,1,0,0,1,4250.40185546875,2421.94702148438
46,8,1,0,0,1,3165.65795898438,2594.72290039062
31,12,0,0,0,0,0.0,2611.21801757812
19,11,1,0,0,1,2305.02587890625,2615.27587890625
19,8,1,0,0,1,0.0,2657.05688476562
27,11,1,0,0,1,2206.93994140625,2666.27392578125
26,11,1,0,1,1,0.0,2754.64599609375
20,10,1,0,0,1,5005.73095703125,2777.35498046875
28,10,1,0,0,1,0.0,2836.50610351562
24,12,1,0,0,0,13765.75,2842.76391601562
19,8,1,0,0,1,2636.35302734375,2937.26391601562
23,12,1,0,0,0,6269.3408203125,3039.9599609375
42,9,1,0,1,1,0.0,3058.53100585938
25,13,1,0,0,0,12362.9296875,3090.73193359375
18,9,1,0,0,1,0.0,3287.375
21,12,1,0,0,0,6473.68310546875,3332.40893554688
27,10,1,0,0,1,1001.14599609375,3550.07495117188
21,8,1,0,0,1,989.267822265625,3695.89697265625
22,9,1,0,0,1,2192.876953125,3836.98608398438
31,4,1,0,0,1,8517.5888671875,4023.2109375
24,10,1,0,1,1,11703.2001953125,4078.15209960938
29,10,1,0,0,1,0.0,4398.9501953125
29,12,1,0,0,0,9748.38671875,4878.93701171875
19,10,0,0,0,1,0.0,5324.10888671875
19,11,0,1,1,1,5424.48486328125,5463.80322265625
31,9,1,0,0,1,10717.0302734375,5517.8408203125
22,10,1,0,1,1,1468.34802246094,5588.6640625
21,9,1,0,0,1,6416.47021484375,5749.3310546875
17,10,1,0,0,1,1291.46801757812,5793.85205078125
26,12,1,0,1,0,8408.76171875,5794.8310546875
20,9,0,1,0,1,12260.7802734375,5875.048828125
19,10,1,0,0,1,4121.94921875,6056.75390625
26,10,1,0,0,1,25929.6796875,6788.9580078125
28,11,1,0,0,1,1929.0290527343802,6871.85595703125
22,12,0,1,1,0,492.23049926757795,7055.7021484375
33,11,1,0,0,1,0.0,7867.916015625
22,12,0,0,0,0,6759.994140625,8455.50390625
29,10,0,1,0,1,0.0,8853.673828125
33,12,1,0,1,0,20279.94921875,10941.349609375
25,14,1,0,1,0,35040.0703125,11536.5703125
35,9,1,0,1,1,13602.4296875,13830.6396484375
35,8,1,0,1,1,13732.0703125,17976.150390625
33,11,1,0,1,1,14660.7099609375,25142.240234375
23,10,1,0,0,1,0.0,0.0
26,12,0,0,0,0,0.0,0.0
22,9,1,0,0,1,0.0,0.0
18,9,1,0,0,1,0.0,0.0
45,11,1,0,0,1,0.0,0.0
18,9,1,0,0,1,0.0,0.0
24,8,0,0,0,1,0.0,0.0
34,11,1,0,1,1,0.0,0.0
24,4,0,1,0,1,0.0,0.0
36,10,1,0,0,1,0.0,0.0
21,14,1,0,0,0,0.0,0.0
28,9,1,0,0,1,0.0,0.0
27,7,1,0,1,1,0.0,0.0
19,11,0,0,0,1,0.0,0.0
20,8,1,0,0,1,0.0,0.0
34,12,1,0,0,0,0.0,0.0
24,10,1,0,0,1,0.0,0.0
22,8,0,1,0,1,0.0,0.0
25,11,1,0,0,1,0.0,0.0
39,9,1,0,0,1,0.0,0.0
19,9,1,0,1,1,0.0,0.0
44,9,1,0,0,1,0.0,0.0
27,8,1,0,0,1,0.0,0.0
25,8,1,0,0,1,0.0,0.0
31,10,1,0,0,1,0.0,0.0
34,10,1,0,1,1,0.0,0.0
21,7,0,1,0,1,0.0,0.0
33,12,1,0,0,0,0.0,0.0
18,10,0,1,0,1,0.0,0.0
26,12,1,0,1,0,0.0,0.0
31,12,1,0,0,0,0.0,0.0
35,10,1,0,0,1,0.0,0.0
20,12,1,0,0,0,0.0,0.0
25,11,1,0,0,1,0.0,0.0
25,10,1,0,0,1,0.0,0.0
35,11,1,0,0,1,0.0,0.0
20,10,1,0,0,1,0.0,0.0
25,9,0,1,0,1,0.0,0.0
27,10,1,0,0,1,0.0,0.0
20,11,0,1,0,1,0.0,0.0
26,11,1,0,0,1,0.0,0.0
38,8,1,0,0,1,0.0,0.0
34,10,1,0,0,1,0.0,0.0
19,12,1,0,0,0,0.0,0.0
32,8,1,0,0,1,0.0,0.0
20,9,0,1,0,1,0.0,0.0
23,10,1,0,0,1,0.0,0.0
38,10,1,0,0,1,0.0,0.0
24,11,1,0,0,1,0.0,0.0
